Kennziffer;Raumeinheit;Aggregat;Angebotsmietpreise;Neubauwohnungen je Einwohner;Baulandpreise;Baugenehmigungen fï¿½r Wohnungenje Einwohner
;;;2024;2023;2022;2023
09261;Landshut, Stadt;Kreise;12;3,7;1.272,07;5,85
09262;Passau, Stadt;Kreise;10;4,2;;3,5
09263;Straubing;Kreise;9;7,36;413,21;13,19
09271;Deggendorf;Kreise;9;6,79;179,94;3,5
09272;Freyung-Grafenau;Kreise;8;1,89;63,52;2,27
09273;Kelheim;Kreise;11;8,46;230,84;3,48
09274;Landshut;Kreise;10;5,05;257,34;2,67
09275;Passau;Kreise;9;8,81;115,76;2,89
09276;Regen;Kreise;8;5,31;;1,86
09277;Rottal-Inn;Kreise;9;5,85;113,43;4,39
09278;Straubing-Bogen;Kreise;9;6,1;134,21;4,45
09279;Dingolfing-Landau;Kreise;9;2,8;137,8;3,44
