Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Langzeitarbeitslose;Ausländische Arbeitslose;Arbeitslose ohne Ausbildung;(SDG 8) Langzeitarbeitslosenquote;(SDG 8) Beschäftigungsquote - 15- bis 64-Jährige;Medianeinkommen;Monatliches Haushaltseinkommen;Haushalte mit niedrigem Einkommen;Haushalte mit mittlerem Einkommen;Haushalte mit hohem Einkommen;Empfänger von Grundsicherung im Alter (Altersarmut);Empfänger von Mindestsicherungen;Wohngeldhaushalte;Kinderarmut;Stimmenanteile AfD
;;;2023;2023;2023;2023;2023;2023;2023;2022;2023;2023;2023;2023;2022;2022;2023;2025
"03458";"Oldenburg";"Kreise";"3,41";"27,29";"30,25";"53,58";"0,93";"70,06";"3.155,07";"2.247,78";"22,77";"45,47";"31,76";"2,58";"6,00";"14,58";"8,74";"17,26"
"05119";"Oberhausen, Stadt";"Kreise";"10,45";"49,14";"40,18";"68,19";"5,13";"57,51";"3.667,86";"1.742,63";"27,87";"49,03";"23,10";"4,85";"15,13";"20,90";"25,20";"21,50"
"05374";"Oberbergischer Kreis";"Kreise";"5,31";"38,60";"32,99";"59,61";"2,05";"65,57";"3.763,55";"2.128,84";"21,60";"46,77";"31,63";"2,98";"7,32";"19,88";"10,13";"21,19"
"09261";"Landshut, Stadt";"Kreise";"5,19";"26,09";"48,86";"55,01";"1,35";"72,35";"3.631,01";"2.545,85";"21,48";"49,78";"28,75";"4,42";"7,79";"18,91";"11,17";"17,52"
"09262";"Passau, Stadt";"Kreise";"5,17";"23,65";"43,53";"56,47";"1,22";"59,92";"3.865,57";"2.020,11";"26,86";"46,86";"26,28";"4,21";"8,20";"13,31";"13,72";"18,01"
"09263";"Straubing";"Kreise";"5,26";"27,37";"37,83";"59,77";"1,44";"68,78";"3.534,74";"2.149,00";"22,70";"47,52";"29,77";"6,08";"8,49";"21,73";"10,89";"25,01"
"09271";"Deggendorf";"Kreise";"3,30";"19,79";"27,11";"46,51";"0,65";"67,79";"3.628,18";"2.283,20";"23,18";"47,05";"29,77";"2,22";"4,35";"8,92";"5,05";"28,26"
"09272";"Freyung-Grafenau";"Kreise";"3,13";"17,19";"26,58";"44,56";"0,54";"66,83";"3.361,89";"2.102,90";"25,01";"47,71";"27,28";"1,40";"3,27";"10,57";"4,55";"30,35"
"09273";"Kelheim";"Kreise";"2,87";"23,24";"40,10";"48,67";"0,67";"69,24";"3.626,50";"2.279,74";"18,72";"48,25";"33,03";"1,73";"3,03";"8,57";"3,70";"24,12"
"09274";"Landshut";"Kreise";"2,80";"27,59";"35,55";"42,25";"0,77";"71,01";"3.643,28";"2.358,15";"17,80";"48,14";"34,07";"1,19";"2,86";"5,65";"4,17";"23,13"
"09275";"Passau";"Kreise";"3,22";"20,74";"32,53";"44,47";"0,67";"66,80";"3.292,49";"2.151,39";"22,99";"47,29";"29,71";"1,78";"4,48";"8,16";"6,55";"27,65"
"09276";"Regen";"Kreise";"3,60";"20,76";"29,30";"45,22";"0,75";"66,67";"3.393,88";"2.123,84";"26,69";"47,74";"25,57";"1,52";"4,15";"12,61";"5,96";"31,29"
"09277";"Rottal-Inn";"Kreise";"3,48";"26,78";"37,40";"55,45";"0,93";"69,14";"3.360,51";"2.328,74";"20,34";"49,28";"30,39";"1,69";"4,26";"9,93";"6,71";"24,16"
"09278";"Straubing-Bogen";"Kreise";"2,83";"21,36";"30,13";"49,68";"0,61";"69,41";"3.363,11";"2.241,25";"20,64";"48,30";"31,06";"1,53";"2,99";"6,08";"3,81";"26,09"
"09279";"Dingolfing-Landau";"Kreise";"3,07";"23,77";"37,39";"44,74";"0,73";"72,31";"4.418,93";"2.263,24";"18,70";"47,06";"34,24";"1,74";"2,84";"8,85";"3,90";"28,81"
"09363";"Weiden i.d.OPf.";"Kreise";"5,52";"25,38";"36,44";"52,73";"1,40";"65,65";"3.367,56";"2.120,31";"25,51";"49,05";"25,44";"4,92";"8,97";"18,10";"13,05";"24,62"
"09375";"Regensburg";"Kreise";"2,45";"19,75";"34,75";"43,82";"0,48";"70,47";"3.592,24";"2.359,99";"20,22";"46,57";"33,21";"1,49";"3,75";"3,74";"4,94";"21,95"
"09564";"Nürnberg";"Kreise";"5,92";"27,68";"50,94";"54,08";"1,64";"66,00";"4.034,60";"2.046,90";"27,17";"48,81";"24,02";"7,88";"10,79";"19,18";"15,35";"15,52"
"09678";"Schweinfurt";"Kreise";"2,56";"26,36";"23,64";"33,08";"0,67";"71,21";"3.212,83";"2.202,70";"19,16";"47,58";"33,26";"1,10";"4,13";"5,48";"4,00";"21,06"
"10046";"St. Wendel";"Kreise";"4,04";"29,55";"32,93";"56,46";"1,19";"62,68";"3.631,79";"2.149,88";"18,87";"49,25";"31,88";"1,94";"5,83";"10,18";"10,56";"19,27"
"12065";"Oberhavel";"Kreise";"4,90";"40,99";"23,22";"50,16";"2,01";"66,33";"3.213,71";"2.093,21";"24,56";"47,91";"27,53";"1,69";"5,98";"13,03";"7,64";"30,94"
"12066";"Oberspreewald-Lausitz";"Kreise";"7,23";"39,62";"13,88";"35,57";"2,87";"68,06";"3.135,29";"1.918,23";"26,85";"47,69";"25,46";"1,24";"8,27";"25,78";"12,55";"41,18"
"12071";"Spree-Neiße";"Kreise";"6,05";"40,59";"17,59";"47,21";"2,46";"68,65";"3.141,24";"2.041,50";"26,39";"47,79";"25,82";"1,27";"7,25";"27,50";"9,70";"43,03"
"15090";"Stendal";"Kreise";"9,11";"41,38";"13,64";"44,70";"3,77";"65,83";"3.062,93";"1.961,38";"29,64";"47,92";"22,44";"1,03";"11,42";"26,55";"17,50";"38,45"
